"","Lat","Long","YY","Ex","Pf","PfPR2_10","LoAge","UpAge"
"1154",-15.8429,35.0732,2014,86,3,4.54,0.5,99
"1155",-15.5235,35.0287,2008,41,8,20.23,5,14
"1156",-15.491,35.057,2000,17,10,65.92,0,4.7
"1157",-15.4153,35.014,2009,20,9,47.43,0.4,4.9
"1158",-15.5312,35.0289,2006,14,4,30.54,1,2
"1159",-15.7665,35.0613,2000,55,10,18.49,1.4,4.1
"1160",-15.65,35,2000,361,166,47.36,1,14
"1161",-15.6653,35.0752,2009,21,4,19.89,0.5,4.9
"1162",-15.5623,35.114,2009,13,1,8.17,0.5,3.9
"1163",-15.6666,35.097,2006,17,2,12.05,1,4
"1164",-15.7955,35.0785,2001,4,1,31.85,6.6,34.7
"1165",-15.7941,35.0855,2006,16,1,6.68,1,2
"1166",-15.7395,35.0859,2009,26,0,0,0.2,5
"1167",-15.7893,35.0842,2006,23,2,8.91,1,4
"1168",-15.7855,35.0854,2012,70,1,1.81,0.5,56
"1169",-15.7855,35.0854,2012,94,4,5.4,0.9,59
"1170",-15.7855,35.0854,2013,104,21,25.71,0.6,62
"1171",-15.7855,35.0854,2014,96,4,5.42,0.5,99
"1172",-15.7338,35.0147,2009,21,3,15.23,0.3,4.9
"1173",-15.7371,35.0017,2005,1,1,99.79,12,12
"1174",-15.7371,35.0017,2008,15,0,0,9,28
"1175",-15.7466,35.0217,2012,76,4,6.43,0.9,44
"1176",-15.7466,35.0217,2012,61,5,10.16,0.5,48
"1177",-15.7466,35.0217,2013,106,5,6.02,0.5,62
"1178",-15.7466,35.0217,2014,101,7,9.01,0.5,99
"1179",-15.7665,35.0251,2006,16,1,6.48,1,3
"1180",-15.8927,34.9833,2005,1,0,0,25,25
"1181",-15.8927,34.9833,2007,19,2,12.87,7,29
"1182",-15.8927,34.9833,2008,16,1,7.82,8,29
"1183",-15.7788,35.033,2012,14,1,7.46,0.5,4.8
"1184",-15.739,34.9797,2012,12,0,0,0.7,4.8
"1185",-15.84,35.0401,2012,11,0,0,0.9,4.9
"1186",-15.8264,35.0718,2012,15,2,13.69,0.8,4.9
"1187",-15.7342,35.0015,2012,13,0,0,0.7,3.9
"1188",-15.7301,35.0614,2012,10,0,0,1.3,4.4
"1189",-15.7524,35.0011,2012,14,0,0,1.5,4.9
"1190",-15.7996,34.974,2012,17,1,6.07,0.7,4.8
"1191",-15.8295,35.0108,2012,11,0,0,1.1,4.7
"1192",-15.7785,35.091,2012,13,2,15.99,0.6,4.8
"1193",-15.7822,35.0353,2012,18,1,5.81,0.5,4.9
"1194",-15.769,35.0558,2012,7,0,0,0.8,3.8
"1195",-15.8188,35.0895,2012,13,1,7.9,0.8,4.9
"1196",-15.8062,35.0244,2012,6,0,0,1.4,4.9
"1197",-15.5696,34.9967,2012,12,6,51.22,1,4.8
"1198",-15.4657,34.9611,2012,13,4,32,0.6,4.6
"1199",-15.7139,34.9296,2012,18,11,61.91,1.3,4.9
"1200",-15.8783,34.9578,2012,19,2,10.95,0.6,4.8
"1201",-15.4356,34.9213,2014,15,2,13.86,0.6,4.9
"1202",-15.825,34.9673,2014,11,0,0,0.5,3.9
"1203",-15.7138,35.0113,2014,13,1,7.97,0.8,4.7
"1204",-15.7831,35.0577,2014,15,1,6.85,0.8,4.8
"1205",-15.7557,35.0362,2014,18,1,5.76,0.8,4.3
"1206",-15.7653,35.0372,2014,7,0,0,1.1,4.3
"1207",-15.7511,35.0119,2014,12,1,8.7,0.5,4.9
"1208",-15.7681,34.9901,2014,11,0,0,0.7,4.7
"1209",-15.8109,34.9965,2014,8,1,13,0.6,4.8
"1210",-15.8298,35.088,2014,7,2,29.83,0.7,4.3
"1211",-15.8537,35.092,2014,13,0,0,0.8,4.8
"1212",-15.8256,35.0173,2014,7,1,14.92,0.7,4.4
"1213",-15.842,34.9862,2014,8,0,0,0.6,4.2
"1214",-15.8735,35.0657,2014,9,3,34.66,0.6,4.9
"1215",-15.6301,35.0057,2017,15,8,54.5,0.9,4.9
"1216",-15.6352,34.9711,2017,12,2,17.08,1,4.7
"1217",-15.7128,35.0136,2017,9,1,11.6,0.5,4.9
"1218",-15.7041,35.006,2017,16,1,6.39,0.9,4.9
"1219",-15.794,35.1007,2017,11,0,0,0.5,4.9
"1220",-15.7889,35.0663,2017,17,1,6,1.1,4.9
"1221",-15.7712,35.0356,2017,12,0,0,0.7,4.9
"1222",-15.7614,35.0359,2017,10,0,0,0.8,4.8
"1223",-15.7665,35.022,2017,11,0,0,0.8,3.8
"1224",-15.7546,34.9879,2017,15,0,0,0.8,4.9
"1225",-15.8074,35.0072,2017,10,0,0,0.5,4.6
"1226",-15.8227,35.0908,2017,15,0,0,0.6,4.7
"1227",-15.8305,35.1026,2017,13,0,0,1.5,4.9
"1228",-15.8365,35.0727,2017,12,0,0,0.5,4.9
"1229",-15.8287,35.0049,2017,6,0,0,1.3,4.3
"1230",-15.8433,34.9892,2017,16,1,6.42,0.8,4.9
"1231",-15.851,35.0663,2017,12,1,8.6,0.7,4.9
"1232",-15.8496,35.038,2012,41,3,9.52,2,72
"1233",-15.8496,35.038,2012,101,3,3.86,0.5,85
"1234",-15.8496,35.038,2013,95,5,6.84,0.5,89
"1235",-15.8496,35.038,2014,107,3,3.64,0.5,99
"1236",-15.8355,35.0389,2007,23,1,5.32,7,29
"1237",-15.8355,35.0389,2009,21,0,0,0.2,4.7
"1238",-15.8416,35.044,2007,22,0,0,7,29
"1239",-15.8723,35.0802,2005,4,1,31.28,8,29
"1240",-15.8723,35.0802,2008,21,0,0,7,29
"1241",-15.5891,34.9033,2015,2,1,50.01,2.9,3.3
"1242",-15.8426,35.077,2016,5,0,0,1.6,11.6
"1243",-15.7628,35.0768,2015,8,0,0,0.5,12.3
"1244",-15.8698,34.9366,2009,6,0,0,1,4.9
"1245",-15.7714,35.1033,2009,31,3,10.46,0.2,4.9
"1246",-15.8209,35.0711,2005,4,1,28.44,6,23
"1247",-15.8209,35.0711,2007,18,0,0,6,28
"1248",-15.8209,35.0711,2008,13,0,0,7,28
"1249",-15.8493,35.0908,2006,21,1,4.88,1,4
"1250",-15.8483,35.087,2009,34,0,0,0.2,4.8
"1251",-15.746,35.02,2002,1721,295,17.9,0.5,4.9
"1252",-15.6665,34.7998,2010,144,42,30.75,0.4,4.9
"1253",-15.7766,35.0328,2010,19,4,21.98,0.7,3.9
"1254",-15.7671,35.0354,2010,44,16,40.75,0,4.6
"1255",-15.7805,35.0306,2010,28,10,37.92,0.5,4.4
"1256",-15.771,35.0384,2010,173,60,36.55,0.4,4.6
"1257",-15.7788,35.0342,2010,31,10,33.12,0.8,5
"1258",-15.773,35.0466,2010,87,35,45.09,0,4.3
"1259",-15.7806,35.0408,2010,27,10,37.64,1.2,4.8
"1260",-15.764,35.0358,2007,14,1,8.57,7,27
"1261",-15.7607,35.0342,2009,6,0,0,0.5,4.9
"1262",-15.771,35.0427,2006,20,3,15.56,1,3
"1263",-15.7653,35.0349,2009,19,0,0,0.1,4.8
"1264",-15.7653,35.0349,2012,85,1,1.51,0.8,65
"1265",-15.7653,35.0349,2012,75,0,0,1,70
"1266",-15.7653,35.0349,2013,101,1,1.24,0.5,53
"1267",-15.7653,35.0349,2014,126,8,8.25,0.5,99
"1268",-15.7713,35.0219,2010,18,8,49.78,0.4,3.3
"1269",-15.773,35.038,2000,15,2,14.4,0.2,4.7
"1270",-15.7746,35.0458,2010,79,30,42.55,0,4.6
"1271",-15.7691,35.0386,2005,3,0,0,7,24
"1272",-15.7691,35.0386,2008,21,0,0,6,29
"1273",-15.7752,35.0464,2005,2,1,66.27,13,21
"1274",-15.7752,35.0464,2008,27,0,0,6,29
"1275",-15.7717,35.0489,2009,20,1,5.22,0.5,5
"1276",-15.7743,35.045,2005,3,0,0,12,18
"1277",-15.7743,35.045,2008,24,0,0,7,29
"1278",-15.7767,35.046,2007,16,1,7.71,7,30
"1279",-15.771,35.0399,2009,26,1,4.16,0.2,4.6
"1280",-15.7733,35.0339,2012,63,1,2.06,0.9,82
"1281",-15.7733,35.0339,2012,104,0,0,0.5,72
"1282",-15.7733,35.0339,2013,84,0,0,0.8,72
"1283",-15.7733,35.0339,2014,95,0,0,0.5,99
